SKU,Price,Wholesale price
11846,237.07,196.55
11862,387.93,327.59
123456789,4.31,3.45
12843957-NEGRO,110.34,93.97
12843957-VERDE,110.34,93.97
20189629-black,30.17,25.22
22187150-blue-LAGOM,111.21,67.24
22187150-pink-LAGOM,111.21,67.24
22187150-white-LAGOM,111.21,67.24
25386701-Morado,122.41,103.45
25386701-Rosa,122.41,103.45
25386701-negro,122.41,103.45
25386701-verde,122.41,103.45
29459592-j6-black,131.9,111.05
29459592-j6-blue,131.9,111.05
29459592-j6-green,131.9,111.05
29459592-j6-orange,131.9,111.05
29459592-j6-pink,131.9,111.05
29459592-j6-white,131.9,111.05
34322441-gold,17.24,15.14
38218762322821,18.97,15.52
38219053760705,18.1,15.52
38219107074241,20.69,17.69
38219107107009,20.69,17.69
38219107139777,20.69,17.69
38219107172545,20.69,17.69
38223455584449,26.72,22.11
38223455617217,26.72,22.11
38223455649985,26.72,22.11
38223942254785,17.24,14.74
38223942287553,17.24,14.74
38223942320321,17.24,14.74
38223942353089,17.24,14.74
38224145875137,19.83,16.38
38224346120385,12.93,10.34
38224346153153,12.93,10.34
38224346185921,12.93,10.34
38224346186241,12.93,10.34
38224346218689,12.93,10.34
38224679043265,25.86,21.48
38224787374273,9.48,8.62
38225308451009,126.72,107.12
38225308483777,126.72,107.12
38225308516545,126.72,107.12
38225308549313,126.72,107.12
38225587994817,25.86,21.13
39608246993089,122.41,103.19
39608247189697,122.41,103.19
39608271372481,112.07,94.34
39608315805889,124.14,105.16
39608315838657,124.14,105.16
39608315871425,124.14,105.16
39608363352257,64.66,54.31
39608363385025,64.66,54.31
39608363417793,64.66,54.31
39608363450561,64.66,54.31
39676536422593,23.28,19.66
39676552904897,37.07,31.45
39730067013825,85.34,71.74
39730067046593,85.34,71.74
39730067079361,85.34,71.74
39730067112129,85.34,71.74
39730151620801,112.07,94.34
39761559781569,124.14,105.16
39761769365697,12.07,9.48
39761769398465,12.07,9.48
39761769431233,12.07,9.48
39761984323777,9.48,7.86
39761984356545,9.48,7.86
39761984389313,9.48,7.86
39761984422081,9.48,7.86
39761984454849,9.48,7.86
39761984455683,9.48,7.86
39769796640961,20.69,17.69
39769796673729,20.69,17.69
39802194329793,18.97,15.23
39802194362561,18.97,15.23
39802194395329,18.97,15.23
39802201309377,151.72,127.76
39802201342145,151.72,127.76
39802201374913,151.72,127.76
39814584926401,6.9,6.03
39814584959169,6.9,6.03
39814584991937,6.9,6.03
39938623307969,12.07,9.48
39940795498689,99.14,83.53
39940795531457,99.14,83.53
39940795564225,99.14,83.53
39979425464513,29.31,24.99
39982305771713,79.31,67.24
39982305804481,79.31,67.24
39982305837249,79.31,67.24
