SKU,Price,Wholesale price
11846,275,228
11862,450,380
123456789,5,4
12843957-NEGRO,128,109
12843957-VERDE,128,109
20189629-black,35,29.25
22187150-blue-LAGOM,129,78
22187150-pink-LAGOM,129,78
22187150-white-LAGOM,129,78
25386701-Morado,142,120
25386701-Rosa,142,120
25386701-negro,142,120
25386701-verde,142,120
29459592-j6-black,153,128.82
29459592-j6-blue,153,128.82
29459592-j6-green,153,128.82
29459592-j6-orange,153,128.82
29459592-j6-pink,153,128.82
29459592-j6-white,153,128.82
34322441-gold,20,17.56
38218762322821,22,18
38219053760705,21,18
38219107074241,24,20.52
38219107107009,24,20.52
38219107139777,24,20.52
38219107172545,24,20.52
38223455584449,31,25.65
38223455617217,31,25.65
38223455649985,31,25.65
38223942254785,20,17.1
38223942287553,20,17.1
38223942320321,20,17.1
38223942353089,20,17.1
38224145875137,23,19
38224346120385,15,12
38224346153153,15,12
38224346185921,15,12
38224346186241,15,12
38224346218689,15,12
38224679043265,30,24.92
38224787374273,11,10
38225308451009,147,124.26
38225308483777,147,124.26
38225308516545,147,124.26
38225308549313,147,124.26
38225587994817,30,24.51
39608246993089,142,119.7
39608247189697,142,119.7
39608271372481,130,109.44
39608315805889,144,121.98
39608315838657,144,121.98
39608315871425,144,121.98
39608363352257,75,63
39608363385025,75,63
39608363417793,75,63
39608363450561,75,63
39676536422593,27,22.8
39676552904897,43,36.48
39730067013825,99,83.22
39730067046593,99,83.22
39730067079361,99,83.22
39730067112129,99,83.22
39730151620801,130,109.44
39761559781569,144,121.98
39761769365697,14,11
39761769398465,14,11
39761769431233,14,11
39761984323777,11,9.12
39761984356545,11,9.12
39761984389313,11,9.12
39761984422081,11,9.12
39761984454849,11,9.12
39761984455683,11,9.12
39769796640961,24,20.52
39769796673729,24,20.52
39802194329793,22,17.67
39802194362561,22,17.67
39802194395329,22,17.67
39802201309377,176,148.2
39802201342145,176,148.2
39802201374913,176,148.2
39814584926401,8,7
39814584959169,8,7
39814584991937,8,7
39938623307969,14,11
39940795498689,115,96.9
39940795531457,115,96.9
39940795564225,115,96.9
39979425464513,34,28.99
39982305771713,92,78
39982305804481,92,78
39982305837249,92,78
39982305870017,92,78
39982305870374,92,78
40046953496769,7,5.7
40051819086017,115,96.9
40055668408513,8,7
40055796138177,12,10.32
40055796170945,12,10.32
40055796203713,12,10.32
40055796236481,12,10.32
40055796237328,12,10.32
40056338809025,130,109.44
40061505110209,176,148.2
40061505142977,176,148.2
40061505208513,176,148.2
40063386353857,7,5.7
40063537152193,22,17.67
40063537184961,22,17.67
40063537217729,22,17.67
40063537250497,22,17.67
40076829982913,22,17.67
40076830015681,22,17.67
40076830048449,22,17.67
40407936598209,45,37.62
40788923252929,12,10.26
40789948006593,102,86
40789948006594,102,86
40837514395841,196,165.3
40837514428609,196,165.3
40837514461377,196,165.3
40841226027201,211,177.84
40841226059969,211,177.84
40841226092737,211,177.84
40841226125505,211,177.84
40841226158273,211,177.84
40841226191041,211,177.84
40841226223809,211,177.84
40841226256577,211,177.84
40861407871169,198,167.07
40864042516673,96,80.59
40864042549441,96,80.59
40864042582209,96,80.59
40864042614977,96,80.59
40864042647745,96,80.59
40864042680513,96,80.59
40893137387713,61,55
40893137420481,61,55
40893137453249,61,55
40902512902337,142,119.7
40902512935105,142,119.7
40902662848705,142,119.7
40944505553089,14,11
40952461099201,53,45
40952461131969,53,45
40952461164737,53,45
40952461230273,53,45
40952461263041,53,45
40952585355457,53,45
40952585388225,53,45
40952585420993,53,45
40952585453761,53,45
40952585486529,53,45
40952635097281,78,66.12
40952635130049,78,66.12
40952635162817,78,66.12
40952635195585,78,66.12
40952635228353,78,66.12
40952648696001,130,109.44
40952648728769,130,109.44
40952648761537,130,109.44
40952648794305,130,109.44
40973581877441,297,250.8
40973581910209,297,250.8
